county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region
FOUNTAIN COUNTY,IN,229097,234599,213576,633,693,707,57,54,38,45,37,35,NC
FRANKLIN COUNTY,IN,148662,160889,169981,849,921,1043,8,12,6,54,52,65,NC
FULTON COUNTY,IN,194312,201724,185495,690,773,817,47,34,22,58,66,59,NC
GIBSON COUNTY,IN,241049,248054,234332,720,846,895,67,56,41,43,68,70,NC
GRANT COUNTY,IN,196537,196132,208967,630,744,876,49,36,25,47,55,52,NC
GREENE COUNTY,IN,207766,202544,210812,958,987,1071,29,28,20,33,41,43,NC
HAMILTON COUNTY,IN,162670,172157,170311,648,772,843,33,31,22,78,77,85,NC
HANCOCK COUNTY,IN,163248,167113,163032,625,698,773,49,38,26,88,74,63,NC
HARRISON COUNTY,IN,161745,184573,176196,1167,1297,1438,12,13,10,56,84,87,NC
HENDRICKS COUNTY,IN,187079,181806,181985,792,926,997,38,23,22,75,83,105,NC
HENRY COUNTY,IN,190798,186172,195559,848,938,1054,39,24,20,81,82,83,NC
HOWARD COUNTY,IN,148609,153607,152289,566,677,784,21,16,11,70,88,93,NC
HUNTINGTON COUNTY,IN,187955,194605,195604,704,818,927,39,23,15,51,59,63,NC
JACKSON COUNTY,IN,202896,216454,207433,851,963,1026,29,20,18,53,49,56,NC
JASPER COUNTY,IN,301962,306098,302902,716,780,877,78,77,56,65,60,74,NC
JAY COUNTY,IN,182836,188637,204345,852,922,1062,36,24,15,60,68,59,NC
JEFFERSON COUNTY,IN,130826,137233,141757,914,962,1055,12,13,9,96,95,116,NC
JENNINGS COUNTY,IN,124694,131481,139111,658,671,751,14,13,14,42,36,38,NC
JOHNSON COUNTY,IN,139638,139792,147756,586,650,737,26,21,16,56,55,63,NC
KNOX COUNTY,IN,305634,309372,291246,688,833,882,86,75,64,46,43,49,NC
KOSCIUSKO COUNTY,IN,251603,268334,274364,1123,1327,1442,47,37,31,105,116,122,NC
LAGRANGE COUNTY,IN,187549,191358,194035,1391,1437,1415,28,23,12,164,159,154,NC
LAKE COUNTY,IN,144305,145566,148139,482,551,622,36,32,27,41,47,55,NC
LA PORTE COUNTY,IN,267695,258506,276210,826,914,982,66,48,48,70,81,57,NC
LAWRENCE COUNTY,IN,158788,172226,176673,849,865,962,23,24,19,34,32,31,NC
MADISON COUNTY,IN,223328,225979,222327,848,956,1126,58,39,36,89,99,130,NC
MARION COUNTY,IN,38783,56772,61735,276,361,400,5,11,11,64,97,83,NC
MARSHALL COUNTY,IN,219402,222394,228218,956,1090,1182,46,34,31,90,78,75,NC
MARTIN COUNTY,IN,71596,67373,73369,375,361,390,7,2,3,25,22,23,NC
MIAMI COUNTY,IN,188843,196019,198468,771,818,924,33,21,21,75,58,77,NC
MONROE COUNTY,IN,59282,73054,75330,508,583,619,3,4,5,29,29,27,NC
MONTGOMERY COUNTY,IN,282764,288755,285397,762,942,976,77,59,58,67,94,88,NC
MORGAN COUNTY,IN,139523,145490,143506,647,713,803,36,33,26,46,54,71,NC
NEWTON COUNTY,IN,206885,227126,221801,390,480,504,65,48,44,32,31,27,NC
NOBLE COUNTY,IN,184118,197875,201388,993,1057,1146,21,14,13,51,45,57,NC
OHIO COUNTY,IN,32318,37230,35740,267,283,316,2,1,2,22,17,39,NC
ORANGE COUNTY,IN,116068,112057,118541,524,566,655,13,7,12,19,9,22,NC
OWEN COUNTY,IN,113129,115428,118596,622,665,748,14,14,7,17,24,30,NC
PARKE COUNTY,IN,181653,192238,192524,491,587,640,56,44,39,22,24,35,NC
PERRY COUNTY,IN,80078,92209,94082,486,526,570,1,2,3,15,21,19,NC
PIKE COUNTY,IN,85366,98958,96821,309,382,413,12,14,11,14,24,13,NC
PORTER COUNTY,IN,142482,162544,161259,496,597,677,32,34,26,33,47,54,NC
POSEY COUNTY,IN,220959,217084,220573,491,551,616,78,67,56,36,37,32,NC
PULASKI COUNTY,IN,242777,243476,240728,630,718,775,69,59,48,35,50,51,NC
PUTNAM COUNTY,IN,204165,210905,219378,826,891,985,45,37,34,47,55,62,NC
RANDOLPH COUNTY,IN,236436,244226,253620,936,1074,1208,39,31,26,73,76,78,NC
RIPLEY COUNTY,IN,164025,173795,173605,963,1071,1165,18,15,15,55,55,67,NC
RUSH COUNTY,IN,233183,239641,229368,761,834,883,43,25,19,60,58,51,NC
ST JOSEPH COUNTY,IN,172348,174226,173814,768,897,1006,32,26,25,66,75,70,NC
SCOTT COUNTY,IN,63332,63520,72504,357,390,464,10,9,7,19,20,21,NC
SHELBY COUNTY,IN,217288,217961,223064,749,876,962,54,35,28,70,82,79,NC
SPENCER COUNTY,IN,175124,178720,173047,730,808,831,34,31,26,57,54,63,NC
STARKE COUNTY,IN,134960,140869,142294,387,449,493,39,35,25,15,24,24,NC
STEUBEN COUNTY,IN,121710,132099,142580,500,573,651,19,17,17,24,22,35,NC
SULLIVAN COUNTY,IN,181020,188948,184890,544,599,660,52,48,36,49,43,29,NC
SWITZERLAND COUNTY,IN,79235,86245,90952,654,660,715,4,2,3,76,53,56,NC
TIPPECANOE COUNTY,IN,257351,247010,260355,790,881,945,70,46,51,80,89,88,NC
TIPTON COUNTY,IN,160930,161040,164336,449,551,586,47,33,39,40,52,48,NC
UNION COUNTY,IN,80069,87958,87721,268,300,339,8,10,7,17,17,18,NC
VANDERBURGH COUNTY,IN,80958,85852,81779,305,378,408,15,9,11,26,40,41,NC
VERMILLION COUNTY,IN,119318,127753,116868,307,393,375,32,30,22,20,11,17,NC
VIGO COUNTY,IN,144722,147757,147581,536,623,678,40,37,32,32,36,45,NC
WABASH COUNTY,IN,197947,202566,207924,810,865,939,37,26,25,85,70,66,NC
WARREN COUNTY,IN,201739,204827,210488,435,486,530,61,51,49,28,22,27,NC
WARRICK COUNTY,IN,96219,99944,108990,392,432,517,21,22,17,22,27,35,NC
WASHINGTON COUNTY,IN,189136,195118,208000,937,1034,1222,21,16,13,51,48,80,NC
WAYNE COUNTY,IN,189467,196898,200759,828,888,1000,32,26,13,57,59,73,NC
WELLS COUNTY,IN,198680,209261,204009,722,875,970,36,24,20,55,70,52,NC
WHITE COUNTY,IN,285169,292938,293076,695,786,883,84,65,45,61,63,65,NC
WHITLEY COUNTY,IN,162244,165339,178239,759,880,1014,33,25,22,59,56,71,NC
ALLEN COUNTY,KS,282862,276555,283878,652,665,735,81,75,61,24,28,25,NC
ANDERSON COUNTY,KS,378517,352141,361247,703,727,797,107,99,94,19,47,44,NC
ATCHISON COUNTY,KS,245099,233619,234730,686,694,768,55,42,41,48,48,65,NC
BARBER COUNTY,KS,639327,700147,698700,449,535,517,168,224,203,13,49,27,NC
BARTON COUNTY,KS,580199,556433,559531,770,937,962,188,165,170,35,80,51,NC
BOURBON COUNTY,KS,337300,318958,337259,781,842,882,75,68,79,23,34,20,NC
BROWN COUNTY,KS,339138,339853,346340,688,728,826,102,94,84,48,48,46,NC
BUTLER COUNTY,KS,765688,699487,691281,1247,1300,1376,201,205,180,51,62,59,NC
CHASE COUNTY,KS,351941,328905,414905,284,288,295,80,74,86,7,10,5,NC
CHAUTAUQUA COUNTY,KS,386881,320956,333958,379,421,431,101,88,89,13,23,17,NC
CHEROKEE COUNTY,KS,271015,280704,296718,764,841,939,78,71,63,18,32,40,NC
CHEYENNE COUNTY,KS,592207,619870,602726,426,493,546,189,222,221,10,17,33,NC
CLARK COUNTY,KS,565274,587574,588288,255,290,308,124,133,140,11,16,15,NC
CLAY COUNTY,KS,380969,392321,365074,600,672,719,143,131,108,41,44,38,NC
CLOUD COUNTY,KS,407464,397383,403290,613,659,726,150,144,131,27,41,49,NC
COFFEY COUNTY,KS,353371,330435,335242,588,606,671,114,93,87,15,25,30,NC
COMANCHE COUNTY,KS,486997,481136,462734,260,277,259,124,124,119,19,26,12,NC
COWLEY COUNTY,KS,627612,619647,699678,965,997,1101,158,152,181,51,52,54,NC
CRAWFORD COUNTY,KS,302849,283589,325082,780,809,915,73,61,65,34,40,44,NC
DECATUR COUNTY,KS,526064,543466,535067,439,486,516,188,217,211,26,22,30,NC
DICKINSON COUNTY,KS,514436,513946,527451,941,1028,1149,158,151,121,53,68,69,NC
DONIPHAN COUNTY,KS,201798,216179,224519,509,530,620,51,58,50,31,47,39,NC
DOUGLAS COUNTY,KS,222028,223426,222859,820,852,896,48,45,41,39,48,42,NC
EDWARDS COUNTY,KS,403375,387309,382477,325,361,402,129,144,133,11,10,14,NC
ELK COUNTY,KS,324063,340899,364902,382,409,467,92,90,99,12,16,18,NC
ELLIS COUNTY,KS,547483,568934,509050,693,795,790,162,145,125,34,53,38,NC
ELLSWORTH COUNTY,KS,442362,423655,387572,445,499,527,163,155,128,12,18,18,NC
FINNEY COUNTY,KS,745371,722746,721624,481,534,558,235,249,245,28,37,36,NC
FORD COUNTY,KS,671223,674986,691933,693,812,836,235,223,233,26,50,57,NC
FRANKLIN COUNTY,KS,316317,312783,304871,926,979,1087,71,71,63,32,46,50,NC
GEARY COUNTY,KS,164081,170339,156662,246,295,299,61,58,54,11,23,24,NC
GOVE COUNTY,KS,671506,676575,674683,476,534,548,227,228,224,36,51,19,NC
GRAHAM COUNTY,KS,512728,503589,523102,400,452,495,179,183,193,11,17,9,NC
GRANT COUNTY,KS,341608,323138,332993,259,303,276,123,126,127,16,17,14,NC
GRAY COUNTY,KS,517623,532284,536969,497,547,552,181,183,170,20,37,23,NC
GREELEY COUNTY,KS,424104,475278,445982,230,294,277,115,129,139,2,14,8,NC
GREENWOOD COUNTY,KS,603755,549507,601823,573,587,651,132,127,160,22,36,10,NC
HAMILTON COUNTY,KS,532890,538449,544916,246,279,270,163,158,169,3,8,9,NC
HARPER COUNTY,KS,499112,484471,490455,550,648,660,166,173,171,20,36,25,NC
HARVEY COUNTY,KS,319686,309123,320935,774,874,923,79,63,63,36,79,49,NC
HASKELL COUNTY,KS,366764,369850,361301,287,315,324,120,139,134,15,16,21,NC
HODGEMAN COUNTY,KS,479903,495080,482739,393,423,466,177,186,183,7,18,16,NC
JACKSON COUNTY,KS,340035,335142,376330,1017,1082,1156,74,65,79,30,40,48,NC
JEFFERSON COUNTY,KS,271713,263592,271691,981,1017,1047,53,54,52,29,36,43,NC
JEWELL COUNTY,KS,484823,502106,510447,659,736,808,182,177,173,24,44,38,NC
JOHNSON COUNTY,KS,141386,151763,169986,596,659,766,29,31,26,36,41,51,NC
KEARNY COUNTY,KS,517376,549371,532077,285,291,297,140,151,136,7,16,20,NC
KINGMAN COUNTY,KS,544071,517652,492197,773,818,860,181,170,152,42,31,32,NC
KIOWA COUNTY,KS,399835,392245,422852,303,310,354,129,133,137,7,12,11,NC
LABETTE COUNTY,KS,346519,350010,354722,913,971,1064,94,85,66,39,36,43,NC
LANE COUNTY,KS,419423,467005,462978,289,322,335,137,165,159,4,13,15,NC
LEAVENWORTH COUNTY,KS,206530,211370,227331,1041,1144,1237,35,29,25,51,65,62,NC
LINCOLN COUNTY,KS,482434,454341,440520,511,578,615,165,163,151,11,30,30,NC
LINN COUNTY,KS,273841,273211,280637,711,688,772,60,60,68,19,22,24,NC
LOGAN COUNTY,KS,603177,610480,583314,360,382,379,174,188,174,7,16,17,NC
LYON COUNTY,KS,485656,469908,500674,842,872,945,134,116,129,23,37,37,NC
MCPHERSON COUNTY,KS,537914,533432,557157,1254,1357,1476,130,123,107,58,86,68,NC
MARION COUNTY,KS,588061,577700,571707,1006,1119,1184,150,139,115,42,67,55,NC
MARSHALL COUNTY,KS,572989,553436,528749,1008,1061,1149,151,153,125,56,62,64,NC
MEADE COUNTY,KS,596103,582454,593525,429,464,489,177,184,177,17,18,24,NC
MIAMI COUNTY,KS,286989,272290,308741,1157,1151,1223,59,55,56,45,44,32,NC
MITCHELL COUNTY,KS,479310,473829,447894,514,622,642,191,172,158,24,34,34,NC
MONTGOMERY COUNTY,KS,323769,327193,325007,922,974,1021,74,74,74,17,25,40,NC
MORRIS COUNTY,KS,409839,396556,402948,516,550,571,119,121,123,25,28,23,NC
MORTON COUNTY,KS,427403,457440,430039,231,226,235,112,125,127,9,6,10,NC
NEMAHA COUNTY,KS,441417,436761,414310,1102,1127,1158,77,64,54,49,56,73,NC
NEOSHO COUNTY,KS,326716,305492,318217,707,751,802,75,70,73,29,25,32,NC
NESS COUNTY,KS,668420,673189,679108,559,597,644,238,248,238,19,20,29,NC
NORTON COUNTY,KS,465527,507626,513265,420,470,517,154,177,185,13,21,28,NC
OSAGE COUNTY,KS,349293,357199,379966,848,885,989,84,82,84,27,33,43,NC
OSBORNE COUNTY,KS,547369,545417,511544,536,607,637,208,200,179,30,27,31,NC
OTTAWA COUNTY,KS,380403,385542,393433,531,523,589,124,131,143,15,26,22,NC
PAWNEE COUNTY,KS,449151,486999,468640,435,530,568,165,162,163,29,28,26,NC
PHILLIPS COUNTY,KS,582053,542578,544332,547,591,647,197,202,196,26,23,28,NC
POTTAWATOMIE COUNTY,KS,451362,443660,464739,777,790,869,129,124,122,26,50,48,NC
PRATT COUNTY,KS,432326,466245,438501,446,517,547,157,170,168,19,15,19,NC
RAWLINS COUNTY,KS,641109,641810,686471,494,541,621,236,238,264,18,27,22,NC
RENO COUNTY,KS,700869,717764,701435,1367,1557,1638,232,217,208,74,99,123,NC
REPUBLIC COUNTY,KS,443290,440215,441118,746,833,923,140,135,112,28,42,43,NC
RICE COUNTY,KS,432701,429065,429881,536,604,643,140,158,157,25,30,33,NC
RILEY COUNTY,KS,228178,247609,252903,482,546,583,59,61,58,26,28,45,NC
ROOKS COUNTY,KS,578283,547539,532189,446,473,528,181,186,177,14,16,17,NC
RUSH COUNTY,KS,427459,422826,424118,507,546,584,153,154,146,12,25,19,NC
RUSSELL COUNTY,KS,463690,461014,471459,507,534,590,169,155,152,13,28,28,NC
SALINE COUNTY,KS,403276,403798,396776,671,743,763,125,124,108,24,39,28,NC
SCOTT COUNTY,KS,484415,470774,509606,363,391,416,163,165,165,17,31,40,NC
SEDGWICK COUNTY,KS,510319,523580,522674,1421,1589,1665,133,116,125,102,135,135,NC
SEWARD COUNTY,KS,328094,331397,325328,254,285,277,112,122,114,8,10,13,NC
SHAWNEE COUNTY,KS,227349,221098,229847,825,852,937,46,43,46,44,60,68,NC
SHERIDAN COUNTY,KS,535359,503582,513458,488,518,571,216,204,193,16,37,24,NC
SHERMAN COUNTY,KS,620144,625942,672254,500,524,550,211,224,225,12,25,14,NC
SMITH COUNTY,KS,537457,555678,546068,626,692,761,203,214,201,27,29,44,NC
STAFFORD COUNTY,KS,436242,461213,458403,490,540,557,167,178,167,14,26,13,NC
STANTON COUNTY,KS,411785,425150,445129,237,280,231,148,157,149,2,13,11,NC
STEVENS COUNTY,KS,450829,460974,456595,295,300,325,155,174,172,7,5,2,NC
SUMNER COUNTY,KS,687593,704788,734578,1163,1271,1386,251,244,229,50,76,66,NC
THOMAS COUNTY,KS,702549,677199,658558,547,644,628,236,248,221,12,20,18,NC
TREGO COUNTY,KS,484093,480159,499771,465,482,497,185,171,186,11,31,21,NC
WABAUNSEE COUNTY,KS,423064,460304,442489,626,633,678,113,103,101,27,32,40,NC
WALLACE COUNTY,KS,471658,529749,505916,283,330,338,142,161,148,6,30,27,NC
WASHINGTON COUNTY,KS,521110,518501,530203,852,939,1032,184,155,133,42,85,60,NC
WICHITA COUNTY,KS,443802,440467,427542,302,355,341,161,154,156,17,24,20,NC
WILSON COUNTY,KS,312717,299462,332902,551,610,680,96,86,98,32,23,22,NC
WOODSON COUNTY,KS,265978,253967,276081,362,369,402,82,79,70,15,16,17,NC
WYANDOTTE COUNTY,KS,22553,23936,25337,171,199,216,4,5,5,23,25,22,NC
ADAIR COUNTY,KY,177858,174127,173510,1482,1491,1605,7,6,7,167,180,190,S
ALLEN COUNTY,KY,156590,157229,160367,1186,1195,1290,8,9,8,102,118,130,S
ANDERSON COUNTY,KY,90033,89986,95695,767,759,851,6,3,2,66,65,120,S
BALLARD COUNTY,KY,111913,105236,111337,464,433,527,28,25,22,53,44,75,S
BARREN COUNTY,KY,248634,252771,249141,2201,2232,2461,9,12,7,266,265,376,S
BATH COUNTY,KY,132979,130527,124248,864,883,959,11,9,7,104,122,159,S
BELL COUNTY,KY,5419,5041,4071,61,60,56,0,0,0,2,1,6,S
BOONE COUNTY,KY,80864,84750,105390,798,810,962,3,3,2,100,90,136,S
BOURBON COUNTY,KY,206881,217872,193397,1026,1070,1061,31,29,31,140,149,182,S
BOYD COUNTY,KY,27836,32302,34191,212,235,231,3,1,3,22,21,11,S
BOYLE COUNTY,KY,108291,103436,104583,742,765,855,14,7,7,97,103,151,S
BRACKEN COUNTY,KY,99009,109260,108813,703,734,752,3,3,3,80,85,91,S
BREATHITT COUNTY,KY,42602,43737,51973,276,296,356,2,1,3,35,45,42,S
BRECKINRIDGE COUNTY,KY,266730,267553,280685,1473,1473,1539,21,24,29,167,198,207,S
BULLITT COUNTY,KY,60911,67058,72693,599,596,688,4,5,5,68,76,80,S
BUTLER COUNTY,KY,140810,147220,146245,671,651,733,18,17,16,41,34,48,S
CALDWELL COUNTY,KY,128807,134929,133703,534,570,661,21,20,17,32,24,61,S
CALLOWAY COUNTY,KY,137337,137781,152270,694,749,949,32,21,21,108,95,133,S
CAMPBELL COUNTY,KY,43447,41411,43467,533,512,545,0,0,0,40,32,34,S
CARLISLE COUNTY,KY,78966,84620,89169,320,375,445,17,19,12,30,42,35,S
CARROLL COUNTY,KY,60812,66781,64791,365,399,420,6,5,5,49,49,63,S
CARTER COUNTY,KY,112831,118340,118009,986,1025,1088,3,4,4,108,136,135,S
CASEY COUNTY,KY,192189,201861,202056,1489,1563,1682,18,17,12,158,196,224,S
CHRISTIAN COUNTY,KY,299321,302270,322180,1171,1187,1400,67,58,56,132,115,178,S
CLARK COUNTY,KY,144904,155437,147236,966,947,1018,22,23,19,121,103,115,S
CLAY COUNTY,KY,68373,74381,75355,511,537,614,3,2,2,81,73,85,S
CLINTON COUNTY,KY,75409,86085,87629,747,777,848,5,6,5,120,103,103,S
CRITTENDEN COUNTY,KY,125133,127845,135974,509,502,569,17,26,20,18,12,23,S
CUMBERLAND COUNTY,KY,108777,115824,115507,647,646,687,7,11,8,80,65,97,S
DAVIESS COUNTY,KY,250128,248898,240192,1264,1288,1497,57,51,44,180,155,233,S
EDMONSON COUNTY,KY,92487,91108,87333,734,744,786,2,2,1,74,70,81,S
ELLIOTT COUNTY,KY,60294,67088,71564,527,534,606,0,2,3,67,76,69,S
ESTILL COUNTY,KY,69310,68915,66372,499,492,529,2,1,3,39,37,50,S
FAYETTE COUNTY,KY,147154,155594,150479,836,912,976,27,25,22,88,131,181,S
FLEMING COUNTY,KY,193859,204660,177444,1232,1308,1295,9,8,3,132,154,193,S
FLOYD COUNTY,KY,10919,10206,13295,99,86,110,0,0,2,8,4,10,S
FRANKLIN COUNTY,KY,86074,96982,98332,739,761,849,2,2,1,75,82,120,S
FULTON COUNTY,KY,96829,93013,99860,164,203,255,36,32,32,10,6,10,S
GA LLATIN COUNTY,KY,41352,52161,47492,288,318,347,1,2,3,26,25,40,S
GA RRARD COUNTY,KY,138061,141754,137939,984,1021,1049,9,8,8,116,139,158,S
GRANT COUNTY,KY,127161,133142,132188,1079,1053,1206,3,5,4,101,99,163,S
GRAVES COUNTY,KY,210275,220710,234488,1144,1213,1537,37,41,28,113,110,172,S
GRAYSON COUNTY,KY,206090,217868,213261,1511,1520,1661,14,15,10,156,166,180,S
GREEN COUNTY,KY,134811,147784,146392,1209,1258,1399,2,6,1,153,188,199,S
GREENUP COUNTY,KY,100468,93353,92487,849,824,857,3,3,2,90,111,125,S
HANCOCK COUNTY,KY,69711,69616,64615,515,529,562,7,7,3,68,85,90,S
HARDIN COUNTY,KY,226206,221054,237981,1810,1748,1922,13,15,18,201,216,232,S
HARLAN COUNTY,KY,4854,6332,6490,29,28,27,1,1,2,5,4,1,S
HARRISON COUNTY,KY,178217,182619,181604,1164,1175,1253,9,9,8,114,103,126,S
HART COUNTY,KY,200455,194172,189316,1582,1518,1607,5,8,4,194,195,247,S
HENDERSON COUNTY,KY,197826,213269,216973,598,638,725,62,60,53,56,54,66,S
HENRY COUNTY,KY,159966,166376,155947,1071,1093,1108,8,3,1,127,142,173,S
HICKMAN COUNTY,KY,99066,95560,105051,255,283,377,30,21,25,13,19,21,S
HOPKINS COUNTY,KY,144828,144862,158726,617,620,688,34,28,27,30,34,33,S
JACKSON COUNTY,KY,80692,84471,90299,789,789,946,0,4,1,94,92,143,S
JEFFERSON COUNTY,KY,44709,55183,59544,564,641,725,3,2,4,98,115,127,S
JESSAMINE COUNTY,KY,98545,101850,97156,842,879,930,8,4,2,130,146,179,S
JOHNSON COUNTY,KY,23062,21842,24319,220,215,263,1,1,1,38,28,42,S
KENTON COUNTY,KY,44188,44273,46837,507,539,617,1,1,0,53,48,54,S
KNOTT COUNTY,KY,3224,3780,2309,29,29,34,0,0,0,1,1,2,S
KNOX COUNTY,KY,46321,51153,56086,376,379,446,4,2,2,39,32,27,S
LARUE COUNTY,KY,120959,127534,127151,906,937,1011,8,8,4,86,101,127,S
LAUREL COUNTY,KY,99527,102078,105374,1252,1305,1393,1,1,1,190,168,184,S
LAWRENCE COUNTY,KY,48509,62250,66353,342,388,405,2,3,4,29,45,37,S
LEE COUNTY,KY,20803,23097,22866,189,223,240,1,0,0,23,24,32,S
LESLIE COUNTY,KY,1501,2946,4658,20,29,53,0,0,0,4,2,11,S
LETCHER COUNTY,KY,3383,3200,4173,30,36,49,0,0,0,4,4,4,S
LEWIS COUNTY,KY,159710,166963,162713,909,927,980,11,8,5,141,129,134,S
LINCOLN COUNTY,KY,173892,184377,181006,1444,1475,1611,11,7,8,185,181,236,S
LIVINGSTON COUNTY,KY,119218,110028,120306,378,354,405,19,22,20,17,14,19,S
LOGAN COUNTY,KY,278675,267350,272757,1231,1322,1495,47,42,28,103,134,189,S
LYON COUNTY,KY,49509,44702,53430,244,258,320,8,5,7,21,23,27,S
MCCRACKEN COUNTY,KY,62766,70148,72377,404,434,555,12,14,7,37,43,59,S
MCCREARY COUNTY,KY,13887,11584,10946,114,116,125,0,0,0,3,8,7,S
MCLEAN COUNTY,KY,135179,123685,127768,458,527,655,31,25,16,58,62,110,S
MADISON COUNTY,KY,247266,245581,237974,1575,1597,1712,23,19,14,225,206,254,S
MAGOFFIN COUNTY,KY,45133,52354,57860,437,450,531,0,1,2,74,70,95,S
MARION COUNTY,KY,175541,181417,178716,1128,1160,1181,11,10,10,101,109,137,S
MARSHALL COUNTY,KY,76141,74001,81539,568,578,714,10,6,4,40,44,49,S
MARTIN COUNTY,KY,5256,4026,2497,23,25,18,1,0,0,0,2,1,S
MASON COUNTY,KY,144254,150073,134980,887,895,932,3,4,3,134,132,169,S
MEADE COUNTY,KY,119533,117135,121911,880,809,888,8,9,6,88,79,105,S
MENIFEE COUNTY,KY,42642,45116,43511,397,385,405,3,1,1,72,66,64,S
MERCER COUNTY,KY,133173,144404,145660,1085,1106,1209,6,9,9,105,107,152,S
METCALFE COUNTY,KY,136869,137344,134006,1067,1088,1096,9,7,6,157,151,157,S
MONROE COUNTY,KY,165917,172553,172641,1062,1115,1225,16,15,8,120,111,139,S
MONTGOMERY COUNTY,KY,113383,115897,121161,772,793,874,11,9,12,119,114,122,S
MORGAN COUNTY,KY,105068,106242,116238,786,816,899,2,3,7,132,140,132,S
MUHLENBERG COUNTY,KY,117868,118240,113885,603,615,714,23,20,10,40,48,66,S
NELSON COUNTY,KY,191002,202339,202598,1423,1369,1486,11,11,10,169,157,169,S
NICHOLAS COUNTY,KY,112409,117446,118899,657,733,786,10,8,8,71,77,85,S
OHIO COUNTY,KY,159794,161234,168525,1019,1022,1172,22,22,18,105,102,137,S
OLDHAM COUNTY,KY,84434,81450,83843,468,479,496,17,11,10,63,67,77,S
OWEN COUNTY,KY,176828,178045,177678,948,984,1102,8,5,6,107,89,116,S
OWSLEY COUNTY,KY,35712,34811,38331,328,351,399,1,1,1,52,60,66,S
PENDLETON COUNTY,KY,127403,135728,139998,921,949,1026,4,4,1,50,59,76,S
PERRY COUNTY,KY,4469,3271,4570,43,45,42,0,0,0,5,8,7,S
PIKE COUNTY,KY,6158,4809,8633,57,38,53,0,0,0,8,3,1,S
POWELL COUNTY,KY,33155,35144,40160,288,313,373,0,1,1,21,40,66,S
PULASKI COUNTY,KY,218145,231139,227949,2137,2266,2488,5,5,4,255,270,338,S
ROBERTSON COUNTY,KY,53022,51018,52275,315,316,336,2,1,1,40,34,45,S
ROCKCASTLE COUNTY,KY,92782,95336,97785,852,861,960,4,3,3,115,105,117,S
ROWAN COUNTY,KY,49712,55908,57311,509,501,556,1,2,3,71,61,68,S
RUSSELL COUNTY,KY,91365,99020,99891,1041,1136,1257,4,3,3,160,175,228,S
SCOTT COUNTY,KY,154082,164293,167013,971,1062,1165,11,10,12,106,140,167,S
SHELBY COUNTY,KY,229838,224123,224909,1640,1581,1652,14,10,12,232,229,290,S
SIMPSON COUNTY,KY,117768,130295,129474,569,590,707,19,28,10,64,57,96,S
SPENCER COUNTY,KY,93887,99927,100922,648,659,651,3,4,4,79,86,92,S
TAYLOR COUNTY,KY,128719,130552,128179,1065,1056,1135,3,4,3,141,129,170,S
TODD COUNTY,KY,165015,174061,176759,653,682,788,35,29,22,83,80,105,S
TRIGG COUNTY,KY,111866,111362,120597,425,470,532,26,21,22,49,53,66,S
TRIMBLE COUNTY,KY,71324,68976,70837,603,591,620,1,1,2,92,92,116,S
UNION COUNTY,KY,196701,204933,203914,387,434,471,57,56,54,22,19,34,S
WARREN COUNTY,KY,252817,239462,245457,1956,1866,2113,20,19,16,205,176,282,S
WASHINGTON COUNTY,KY,165391,169310,161758,1137,1182,1191,5,2,3,105,109,150,S
WAYNE COUNTY,KY,135850,136970,140014,889,979,1082,12,9,8,124,130,146,S
WEBSTER COUNTY,KY,140432,136561,155597,466,492,594,36,29,24,28,42,51,S
WHITLEY COUNTY,KY,44548,50379,50155,369,403,438,1,3,2,22,21,28,S
WOLFE COUNTY,KY,61145,59856,67007,456,453,510,3,3,5,70,63,78,S
WOODFORD COUNTY,KY,123655,125299,117733,727,717,725,11,11,11,104,90,126,S
ACADIA PARISH,LA,267511,260486,275069,754,765,887,83,69,57,78,59,82,S
ALLEN PARISH,LA,117599,106442,132440,357,370,435,30,28,33,22,21,32,S
ASCENSION PARISH,LA,63446,58215,61025,325,263,299,15,18,14,46,32,42,S
ASSUMPTION PARISH,LA,67928,71764,73255,100,118,110,16,17,13,15,15,12,S
AVOYELLES PARISH,LA,256118,271780,305128,953,1080,1302,62,66,72,64,78,100,S
BEAUREGARD PARISH,LA,136534,159638,154349,727,846,925,25,27,23,42,48,53,S
BIENVILLE PARISH,LA,51401,60651,68209,257,301,405,8,8,9,7,10,17,S
BOSSIER PARISH,LA,110637,119681,129471,389,399,444,28,35,34,28,36,34,S
CADDO PARISH,LA,170353,175800,219616,472,559,666,44,51,66,50,55,70,S
CALCASIEU PARISH,LA,327511,325523,344320,724,772,817,71,87,80,86,97,120,S
CALDWELL PARISH,LA,66380,58212,68427,236,264,290,13,9,18,4,11,19,S
CAMERON PARISH,LA,258035,255447,260012,453,442,446,44,45,29,24,40,45,S
CATAHOULA PARISH,LA,250607,245348,288700,421,433,531,70,68,83,20,12,20,S
CLAIBORNE PARISH,LA,63674,63548,87429,260,291,395,14,7,7,10,14,22,S
CONCORDIA PARISH,LA,227698,230503,264548,325,357,431,87,75,84,8,6,17,S
DE SOTO PARISH,LA,147826,154522,166066,556,585,679,33,26,32,26,30,44,S
EAST BATON ROUGE PARISH,LA,79150,84198,89330,511,582,589,8,8,10,77,95,75,S
EAST CARROLL PARISH,LA,194044,196414,214717,258,277,323,57,54,67,3,10,8,S
