county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region,rn,strwt
MAUI COUNTY,HI,355786,359310,403140,850,722,670,26,25,24,505,365,316,W,145,10.29268293
MILLARD COUNTY,UT,484156,480195,487961,612,630,612,108,97,89,41,43,32,W,345,10.29268293
DUCHESNE COUNTY,UT,399011,366471,315061,733,753,677,65,59,48,37,56,36,W,338,10.29268293
DAWSON COUNTY,MT,1334041,1326655,1353774,451,499,499,289,308,310,9,41,32,W,200,10.29268293
SHERMAN COUNTY,OR,487534,462424,431172,179,187,198,124,124,123,9,15,10,W,323,10.29268293
HILL COUNTY,MT,1644001,1722206,1734585,641,713,675,443,467,443,12,17,18,W,210,10.29268293
POWELL COUNTY,MT,675569,670508,742622,233,237,210,99,100,97,13,29,17,W,228,10.29268293
COLUMBIA COUNTY,OR,71839,73949,77182,661,695,781,11,9,10,121,106,114,W,300,10.29268293
EDDY COUNTY,NM,1138681,967816,957155,495,503,465,133,108,96,88,87,66,W,254,10.29268293
BENEWAH COUNTY,ID,111510,115100,124190,195,205,222,39,38,40,10,7,11,W,150,10.29268293
KLICKITAT COUNTY,WA,689639,698453,725048,508,545,575,124,129,134,39,40,43,W,380,10.29268293
HAWAII COUNTY,HI,926607,1007287,1172448,3157,2810,2539,55,60,58,1960,1602,1468,W,142,10.29268293
CROOK COUNTY,WY,1542262,1509320,1548500,442,461,442,271,292,293,10,31,27,W,405,10.29268293
TOOLE COUNTY,MT,1063086,1131519,1056130,358,393,354,255,287,273,6,20,13,W,240,10.29268293
GREENLEE COUNTY,AZ,137834,139840,141595,107,102,121,8,15,12,11,11,13,W,11,10.29268293
GRAND COUNTY,CO,299142,319578,284306,149,163,138,56,75,52,13,6,8,W,103,10.29268293
UTAH COUNTY,UT,450315,493902,432326,1696,1723,1848,64,53,62,475,475,542,W,356,10.29268293
POLK COUNTY,OR,167880,176178,179518,1027,1072,1196,36,30,30,163,150,180,W,322,10.29268293
BEAR LAKE COUNTY,ID,269435,269211,292783,415,446,451,65,72,71,20,43,30,W,149,10.29268293
LAS ANIMAS COUNTY,CO,2286947,2149828,2137550,490,481,484,214,216,209,13,31,13,W,114,10.29268293
MADISON COUNTY,MT,1271160,1195898,1196626,418,453,439,179,181,194,13,37,32,W,218,10.29268293
EAGLE COUNTY,CO,213004,213441,201657,134,147,124,29,35,30,9,7,12,W,97,10.29268293
TETON COUNTY,ID,134788,148908,156160,257,268,270,44,44,40,8,8,9,W,186,10.29268293
ROOSEVELT COUNTY,MT,1414415,1364020,1371234,525,598,584,335,353,350,9,20,18,W,232,10.29268293
CARBON COUNTY,MT,598694,536553,628680,599,635,597,128,141,137,23,47,43,W,194,10.29268293
KITSAP COUNTY,WA,10302,9576,10974,366,404,422,1,0,0,143,164,137,W,378,10.29268293
HINSDALE COUNTY,CO,9021,9899,10920,16,16,19,2,2,3,2,0,0,W,105,10.29268293
HUMBOLDT COUNTY,CA,597766,616267,648820,874,890,876,114,109,109,139,134,120,W,32,10.29268293
SUMMIT COUNTY,UT,373582,348827,339347,419,439,417,65,64,66,47,69,55,W,353,10.29268293
STEVENS COUNTY,WA,546303,525783,578060,1054,1073,1191,80,87,95,47,58,50,W,393,10.29268293
CLARK COUNTY,WA,82967,94646,101660,1257,1428,1618,8,5,7,271,274,317,W,366,10.29268293
WAHKIAKUM COUNTY,WA,12611,14616,15915,110,135,145,0,0,0,5,12,8,W,395,10.29268293
FRANKLIN COUNTY,WA,670149,660813,632519,857,894,856,127,140,120,107,109,101,W,371,10.29268293
LEA COUNTY,NM,2149450,2220431,2178568,544,561,534,208,205,191,59,67,63,W,259,10.29268293
THURSTON COUNTY,WA,59890,56799,67628,811,806,856,5,4,4,171,143,151,W,394,10.29268293
CARSON CITY (IC),NV,5361,17859,18780,28,37,34,3,2,2,15,15,17,W,295,10.29268293
BANNOCK COUNTY,ID,325338,358189,352306,588,655,617,79,81,83,98,112,106,W,148,10.29268293
LA PLATA COUNTY,CO,587339,613579,589167,709,682,625,67,79,66,25,39,33,W,112,10.29268293
